Date,SST_Celsius
2025-01-01,28.224287825309396
2025-01-02,28.21832534132408
2025-01-03,28.163684599977863
2025-01-04,28.127705594953703
2025-01-05,28.33972805064605
2025-01-06,28.192680028407963
2025-01-07,28.17791901098852
2025-01-08,28.196590843231878
2025-01-09,28.123769576661182
2025-01-10,28.193410653972418
2025-01-11,28.437423267937273
2025-01-12,28.136642273024613
2025-01-13,28.187870334320543
2025-01-14,28.31158985363771
2025-01-15,28.05226439704617
2025-01-16,28.422882262119685
2025-01-17,28.24740852865716
2025-01-18,28.190138497207258
2025-01-19,28.324681942007338
2025-01-20,28.325998882709428
2025-01-21,28.257886298269817
2025-01-22,28.2252697832614
2025-01-23,28.5733499173247
2025-01-24,28.37063494475947
2025-01-25,28.216654328122413
2025-01-26,28.390814539181825
2025-01-27,28.43549604043828
2025-01-28,28.578126696897346
2025-01-29,28.447766050815
2025-01-30,28.329190893917442
2025-01-31,28.350960088451764
2025-02-01,28.334137708547242
2025-02-02,28.306681573435654
2025-02-03,28.494858334538737
2025-02-04,28.5376094763735
2025-02-05,28.577706847914527
2025-02-06,28.51824550540484
2025-02-07,28.36363091298204
2025-02-08,28.46168308036495
2025-02-09,28.492416299836453
2025-02-10,28.51094218871139
2025-02-11,28.37652358464268
2025-02-12,28.442674943206146
2025-02-13,28.548311343851182
2025-02-14,28.596934192083758
2025-02-15,28.56805754311618
2025-02-16,28.7091373736938
2025-02-17,28.50165290554339
2025-02-18,28.506654599246538
2025-02-19,28.53377958366408
2025-02-20,28.64329863327029
2025-02-21,28.691863047150537
2025-02-22,28.60501672412618
2025-02-23,28.639091374739603
2025-02-24,28.590714319118664
2025-02-25,28.552783120432967
2025-02-26,28.60961595170587
2025-02-27,28.805965956790004
2025-02-28,28.61476683846828
2025-03-01,28.64253248640982
2025-03-02,28.711529335332028
2025-03-03,28.57953410131808
2025-03-04,28.70597596473136
2025-03-05,28.617410208215688
2025-03-06,28.5616498622644
2025-03-07,28.88912578658691
2025-03-08,28.617873014838963
2025-03-09,28.65582896760256
2025-03-10,28.86110181309154
2025-03-11,28.78504417701998
2025-03-12,28.63077113182701
2025-03-13,28.836561814225497
2025-03-14,28.804921813972623
2025-03-15,28.91901684649165
2025-03-16,28.940426086425667
2025-03-17,28.879026519711516
2025-03-18,28.900220384974677
2025-03-19,28.872506623708922
2025-03-20,29.02351143883619
2025-03-21,28.894750019942755
2025-03-22,28.877809163679427
2025-03-23,29.12987412747402
2025-03-24,29.07958791495115
2025-03-25,29.249755422000568
2025-03-26,29.104777518861674
2025-03-27,29.370787641273548
2025-03-28,29.125235704913667
2025-03-29,29.38314786305942
2025-03-30,29.481483496863245
2025-03-31,29.379190440545194
2025-04-01,29.293112299713158
2025-04-02,29.604204142938762
2025-04-03,29.34653873886119
